"Identity","Native.range","Invaded.range","Impact","n_pp","inv","aus","haz_sc_of5"
"Pityophthorus setosus Blackman","Nearctic","-","High",4,"false","false",1
"Platypus semigranosus (Sampson)","South Western Pacific","-","Negligible",1,"false","true",3
"Proteuxoa hypochalchis (Turner)","South Western Pacific","-","Negligible",764,"false","true",3
"Pseudaulacaspis cockerelli (Cooley)","Eastern Palearctic","Afrotropic, Nearctic, Western Palearctic, South Western Pacific","Negligible",3,"true","false",4
"Rhagium inquisitor (Linnaeus)","Western Palearctic, Eastern Palearctic, Nearctic","-","Low-medium",8850,"true","false",3
"Rhyacionia buoliana (Denis & Schiffermuller)","Western Palearctic","Nearctic, Neotropic","High",1885,"true","false",2
"Rhyacionia frustrana (Comstock)","Nearctic","-","High",532,"false","false",1
"Thaumetopoea pityocampa (Denis & Schiffermuller)","Western Palearctic","-","High",9484,"true","false",2
"Tomicus piniperda (Linnaeus)","Western Palearctic, Eastern Palearctic","Nearctic","High",5634,"true","false",2
"Urocerus gigas (Linnaeus)","Western Palearctic, Eastern Palearctic","Neotropic","Negligible",4268,"true","false",3
